name,twitter_handle,twitter_handle_2,twitter_handle_3,state,party,score,congress_group
Bob Latta,latta4congress,boblatta,,OH,R,0.09505,House
Ami Bera,RepBera,BeraForCongress,,CA,D,0.09456,House
Ted Lieu,tedlieu,RepTedLieu,,CA,D,0.08906,House
Jan Schakowsky,RepSchakowsky,janschakowsky,,IL,D,0.07888,House
G.K. Butterfield,GKButterfield,,,NC,D,0.07775,House
Tom Graves,RepTomGraves,TomGravesGA14,,GA,R,0.07723,House
Haley Stevens,RepHaleyStevens,HaleyLive,,MI,D,0.07336,House
Kenny Marchant,RepKenMarchant,,,TX,R,0.07061,House
Fred Keller,RepFredKeller,,,PA,R,0.07048,House
Betty McCollum,BettyMcCollum04,,,MN,D,0.06716,House
Jim Hagedorn,JimHagedornMN,RepHagedorn,,MN,R,0.06324,House
Joseph Morelle,votemorelle,RepJoeMorelle,,NY,D,0.06187,House
Trey Hollingsworth,RepTrey,VoteForTrey,,IN,R,0.0612,House
David Scott,repdavidscott,,,GA,D,0.06107,House
Joyce Beatty,RepBeatty,JoyceBeatty,,OH,D,0.05927,House
Deb Haaland,RepDebHaaland,Deb4CongressNM,,NM,D,0.05685,House
Filemon Vela,RepFilemonVela,,,TX,D,0.05613,House
Al Lawson,RepAlLawsonJr,AlLawsonJr,,FL,D,0.04996,House
Brendan Boyle,CongBoyle,RepBrendanBoyle,,PA,D,0.04462,House
John Larson,JohnLarsonCT,RepJohnLarson,,CT,D,0.04087,House
Tony Cardenas,Tcardenas,RepCardenas,,CA,D,0.03785,House
Greg Steube,RepGregSteube,gregsteube,,FL,R,0.03669,House
Donald Payne,RepDonaldPayne,,,NJ,D,0.03042,House
Steve Watkins,Rep_Watkins,Steve4Kansas,,KS,R,0.02958,House
Joaquin Castro,JoaquinCastrotx,,,TX,D,0.0274,House
David Kustoff,RepDavidKustoff,DavidKustoff,,TN,R,0.02346,House
Sean Patrick Maloney,RepSeanMaloney,spmaloney,,NY,D,0.02248,House
Lois Frankel,RepLoisFrankel,LoisFrankel,,FL,D,0.0205,House
Jerry McNerney,RepMcNerney,jerrymcnerney,,CA,D,0.01761,House
Robin Kelly,RepRobinKelly,RobinLynneKelly,,IL,D,0.01361,House
Bill Posey,congbillposey,,,FL,R,0.0107,House
Brett Guthrie,RepGuthrie,brettguthrie,,KY,R,0.01039,House
Jason Smith,JasonSmithMO,RepJasonSmith,,MO,R,0.00992,House
Stephen Lynch,RepStephenLynch,RepLynch,,MA,D,0.00713,House
Marc Veasey,RepVeasey,MarcVeasey,,TX,D,0.0067,House
Frank Pallone,FrankPallone,pallonefornj,,NJ,D,-0.00531,House
Tom Emmer,RepTomEmmer,tomemmer,,MN,R,-0.00763,House
Gwen Moore,RepGwenMoore,Gwen4Congress,,WI,D,-0.01532,House
Emanuel Cleaver,repcleaver,Vote4Cleaver,,MO,D,-0.01839,House
Katie Porter,katieporteroc,RepKatiePorter,,CA,D,-0.02984,House
Dina Titus,dinatitus,repdinatitus,,NV,D,-0.04676,House
Doug Collins,CollinsforGA,RepDougCollins,,GA,R,-0.04966,House
Kathy Castor,USRepKCastor,KathyCastorFL,,FL,D,-0.05078,House
Tim Burchett,RepTimBurchett,timburchett,,TN,R,-0.05498,House
Jared Huffman,JaredHuffman,RepHuffman,,CA,D,-0.056,House
Marcia Fudge,mlfudge,RepMarciaFudge,,OH,D,-0.05621,House
Rob Bishop,RobBishopUT,RepRobBishop,,UT,R,-0.05912,House
Mark Pocan,repmarkpocan,MarkPocan,,WI,D,-0.05993,House
Eleanor Holmes Norton,EleanorNorton,,,DC,D,-0.06546,House
Trent Kelly,RepTrentKelly,KellyforMS01,,MS,R,-0.07256,House
Mark Takano,MarkTakano,RepMarkTakano,,CA,D,-0.0736,House
Jim Costa,RepJimCosta,,,CA,D,-0.07435,House
Roger Williams,RepRWilliams,,,TX,R,-0.07757,House
Linda Sanchez,LindaTSanchez,RepLindaSanchez,,CA,D,-0.09479,House
Grace Napolitano,gracenapolitano,grace4congress,,CA,D,-0.09515,House
Val Demings,val_demings,RepValDemings,,FL,D,-0.09562,House
Bryan Steil,BryanSteil,RepBryanSteil,,WI,R,-0.09659,House
Mike Levin,RepMikeLevin,MikeLevin,,CA,D,-0.09674,House
Jamie Raskin,jamie_raskin,RepRaskin,,MD,D,-0.10566,House
Grace Meng,RepGraceMeng,Grace4NY,,NY,D,-0.11152,House
James Comer,JamesComer,,,KY,R,-0.12203,House
Jennifer Wexton,JenniferWexton,RepWexton,,VA,D,-0.12352,House
Lori Trahan,RepLoriTrahan,LoriTrahanMA,,MA,D,-0.12752,House
Don Beyer,RepDonBeyer,DonBeyerVA,,VA,D,-0.12921,House
Sheila Jackson Lee,JacksonLeeTX18,,,TX,D,-0.12998,House
Karen Bass,RepKarenBass,KarenBassTweets,,CA,D,-0.13179,House
Dan Kildee,RepDanKildee,dankildee,,MI,D,-0.13211,House
Richard Neal,RepRichardNeal,,,MA,D,-0.14637,House
Chris Collins,,,,NY,R,-0.15061,House
Mark Meadows,MarkMeadows,TeamMeadows,,NC,R,-0.15311,House
Greg Pence,GregPenceIN,RepGregPence,,IN,R,-0.15612,House
Debbie Wasserman Schultz,RepDWStweets,DWStweets,,FL,D,-0.1609,House
